1,2
2-methyl-1-pentene,3.6×10−5
C6H12,3.6 ×10−5
[763-29-1],3.6×10−5
4-methyl-1-pentene,1.6 ×10−5
C6H12,1.6×10−5
[691-37-2],1.6 10−5×
"2,3-dimethyl-1-butene",1.7 ×10−5
C6H12,
[563-78-0],
1-heptene,2.3×10−5
C7H14,2.5×10−5
[592-76-7],2.5×10−5
2-heptene,1.7×10−5
C7H14,
[592-77-8],
trans-2-heptene,2.4×10−5
C7H14,2.4×10−5
[14686-13-6],2.4 10−5×
1-octene,1.0 10−5×
C8H16,1.6 ×10−5
[111-66-0],1.0 ×10−5
"2,4,4-trimethyl-1-pentene",1.3 10−5×
C8H16,
[107-39-1],
"2,4,4-trimethyl-2-pentene",1.1 10−5×
C8H16,
[107-40-4],
"3,4,4-trimethyl-2-pentene",1.1×10−5
C8H16,
[598-96-9],
1-nonene,1.2 ×10−5
C9H18,1.2×10−5
[124-11-8],6.5×10−6
1-decene,3.7 10−6×
